Age,Sex,Country,Year,Population,,,,,,,
All ages,Female,Albania,1980,..,,,,,,,
All ages,Female,Albania,1990,1600501,,,,,,,
All ages,Female,Albania,1995,1641068,,,,,,,
All ages,Female,Albania,2000,1724313,,,,,,,
All ages,Female,Albania,2001,1534195,,,,,,,
All ages,Female,Albania,2002,1529373,,,,,,,
All ages,Female,Albania,2003,1523333,,,,,,,
All ages,Female,Albania,2004,1516615,,,,,,,
All ages,Female,Albania,2005,1508359,,,,,,,
All ages,Female,Albania,2006,1498207,,,,,,,
All ages,Female,Albania,2007,1486401,,,,,,,
All ages,Female,Albania,2008,1474647,,,,,,,
All ages,Female,Albania,2009,1463981,,,,,,,
All ages,Female,Albania,2010,1455360,,,,,,,
All ages,Female,Albania,2011,1447968,,,,,,,
All ages,Female,Albania,2012,1440720,,,,,,,
All ages,Female,Albania,2013,1434016,,,,,,,
All ages,Female,Albania,2014,1427715,,,,,,, 
All ages,Female,Albania,2015,1420872,,,,,,,
All ages,Female,Albania,2016,1420101,,,,,,,
All ages,Female,Albania,2017,1427386,,,,,,,
All ages,Female,Albania,2018,1432274,,,,,,,
All ages,Female,Albania,2019,1429087,,,,,,,
All ages,Female,Albania,2020,1422551,,,,,,,
All ages,Female,Albania,2021,1413151,,,,,,,
All ages,Female,Albania,2022,..,,,,,,,
All ages,Female,Albania,2023,..,,,,,,,
All ages,Female,Andorra,1980,..,,,,,,,
All ages,Female,Andorra,1990,..,,,,,,,
All ages,Female,Andorra,1995,..,,,,,,,
All ages,Female,Andorra,2000,..,,,,,,,
All ages,Female,Andorra,2001,..,,,,,,,
All ages,Female,Andorra,2002,..,,,,,,,
All ages,Female,Andorra,2003,..,,,,,,,
All ages,Female,Andorra,2004,..,,,,,,,
All ages,Female,Andorra,2005,..,,,,,,,
All ages,Female,Andorra,2006,..,,,,,,,
All ages,Female,Andorra,2007,..,,,,,,,
All ages,Female,Andorra,2008,..,,,,,,,
All ages,Female,Andorra,2009,..,,,,,,,
All ages,Female,Andorra,2010,34698,,,,,,,
All ages,Female,Andorra,2011,34568,,,,,,,
All ages,Female,Andorra,2012,34611,,,,,,,
All ages,Female,Andorra,2013,34735,,,,,,,
All ages,Female,Andorra,2014,34951,,,,,,,
All ages,Female,Andorra,2015,35503,,,,,,,
All ages,Female,Andorra,2016,36058,,,,,,,
All ages,Female,Andorra,2017,36763,,,,,,,
All ages,Female,Andorra,2018,37388,,,,,,,
All ages,Female,Andorra,2019,38071,,,,,,,
All ages,Female,Andorra,2020,38275,,,,,,,
All ages,Female,Andorra,2021,38804,,,,,,,
All ages,Female,Andorra,2022,..,,,,,,,
All ages,Female,Andorra,2023,..,,,,,,,
All ages,Female,Armenia,1980,1591312,,,,,,,
All ages,Female,Armenia,1990,1825300,,,,,,,
All ages,Female,Armenia,1995,1715845,,,,,,,
All ages,Female,Armenia,2000,1676708,,,,,,,
All ages,Female,Armenia,2001,1670424,,,,,,,
All ages,Female,Armenia,2002,1664128,,,,,,,
All ages,Female,Armenia,2003,1655056,,,,,,,
All ages,Female,Armenia,2004,1645698,,,,,,,
All ages,Female,Armenia,2005,1636012,,,,,,,
All ages,Female,Armenia,2006,1626178,,,,,,,
All ages,Female,Armenia,2007,1616114,,,,,,,
All ages,Female,Armenia,2008,1605711,,,,,,,
All ages,Female,Armenia,2009,1594924,,,,,,,
All ages,Female,Armenia,2010,1584095,,,,,,,
All ages,Female,Armenia,2011,1575350,,,,,,,
All ages,Female,Armenia,2012,1573567,,,,,,,
All ages,Female,Armenia,2013,1574407,,,,,,,
All ages,Female,Armenia,2014,1572516,,,,,,,
All ages,Female,Armenia,2015,1570493,,,,,,,
All ages,Female,Armenia,2016,1568458,,,,,,,
All ages,Female,Armenia,2017,1565957,,,,,,,
All ages,Female,Armenia,2018,1564036,,,,,,,
All ages,Female,Armenia,2019,1563114,,,,,,,
All ages,Female,Armenia,2020,1563917,,,,,,,
All ages,Female,Armenia,2021,1564671,,,,,,,
All ages,Female,Armenia,2022,..,,,,,,,
All ages,Female,Armenia,2023,..,,,,,,,
All ages,Female,Austria,1980,3982256,,,,,,,
All ages,Female,Austria,1990,4002292,,,,,,,
All ages,Female,Austria,1995,4114203,,,,,,,
All ages,Female,Austria,2000,4136848,,,,,,,
All ages,Female,Austria,2001,4148374,,,,,,,
All ages,Female,Austria,2002,4163790,,,,,,,
All ages,Female,Austria,2003,4180323,,,,,,,
All ages,Female,Austria,2004,4203233,,,,,,,
All ages,Female,Austria,2005,4228223,,,,,,,
All ages,Female,Austria,2006,4246438,,,,,,,
All ages,Female,Austria,2007,4259211,,,,,,,
All ages,Female,Austria,2008,4271784,,,,,,,
All ages,Female,Austria,2009,4281755,,,,,,,
All ages,Female,Austria,2010,4290867,,,,,,,
All ages,Female,Austria,2011,4303135,,,,,,,
All ages,Female,Austria,2012,4319107,,,,,,,
All ages,Female,Austria,2013,4340342,,,,,,,
All ages,Female,Austria,2014,4368488,,,,,,,
All ages,Female,Austria,2015,4406223,,,,,,,
All ages,Female,Austria,2016,4444171,,,,,,,
All ages,Female,Austria,2017,4472086,,,,,,,
All ages,Female,Austria,2018,4492745,,,,,,,
All ages,Female,Austria,2019,4512017,,,,,,,
All ages,Female,Austria,2020,4529002,,,,,,,
All ages,Female,Austria,2021,4544578,,,,,,,
All ages,Female,Austria,2022,4586700,,,,,,,
All ages,Female,Austria,2023,4631937,,,,,,,
All ages,Female,Azerbaijan,1980,3161000,,,,,,,
All ages,Female,Azerbaijan,1990,3672300,,,,,,,
All ages,Female,Azerbaijan,1995,3906200,,,,,,,
All ages,Female,Azerbaijan,2000,4124079,,,,,,,
All ages,Female,Azerbaijan,2001,4159370,,,,,,,
All ages,Female,Azerbaijan,2002,4193799,,,,,,,
All ages,Female,Azerbaijan,2003,4229023,,,,,,,
All ages,Female,Azerbaijan,2004,4269027,,,,,,,
All ages,Female,Azerbaijan,2005,4315434,,,,,,,
All ages,Female,Azerbaijan,2006,4365387,,,,,,,
All ages,Female,Azerbaijan,2007,4417153,,,,,,,
All ages,Female,Azerbaijan,2008,4469898,,,,,,,
All ages,Female,Azerbaijan,2009,4519349,,,,,,,
All ages,Female,Azerbaijan,2010,4568053,,,,,,,
All ages,Female,Azerbaijan,2011,4622812,,,,,,,
All ages,Female,Azerbaijan,2012,4679645,,,,,,,
All ages,Female,Azerbaijan,2013,4735630,,,,,,,
All ages,Female,Azerbaijan,2014,4790376,,,,,,,
All ages,Female,Azerbaijan,2015,4843592,,,,,,,
All ages,Female,Azerbaijan,2016,4894386,,,,,,,
All ages,Female,Azerbaijan,2017,4939414,,,,,,,
All ages,Female,Azerbaijan,2018,4979555,,,,,,,
All ages,Female,Azerbaijan,2019,4993386,,,,,,,
All ages,Female,Azerbaijan,2020,5026502,,,,,,,
All ages,Female,Azerbaijan,2021,5047875,,,,,,,
All ages,Female,Azerbaijan,2022,..,,,,,,,
All ages,Female,Azerbaijan,2023,..,,,,,,,
All ages,Female,Belarus,1980,5156301,,,,,,,
All ages,Female,Belarus,1990,5409531,,,,,,,
All ages,Female,Belarus,1995,5420329,,,,,,,
All ages,Female,Belarus,2000,5298679,,,,,,,
All ages,Female,Belarus,2001,5275331,,,,,,,
All ages,Female,Belarus,2002,5246622,,,,,,,
All ages,Female,Belarus,2003,5215850,,,,,,,
All ages,Female,Belarus,2004,5185820,,,,,,,
All ages,Female,Belarus,2005,5156072,,,,,,,
All ages,Female,Belarus,2006,5129830,,,,,,,
All ages,Female,Belarus,2007,5110076,,,,,,,
All ages,Female,Belarus,2008,5094954,,,,,,,
All ages,Female,Belarus,2009,5087047,,,,,,,
All ages,Female,Belarus,2010,5082555,,,,,,,
All ages,Female,Belarus,2011,5077157,,,,,,,
All ages,Female,Belarus,2012,5075056,,,,,,,
All ages,Female,Belarus,2013,5076313,,,,,,,
All ages,Female,Belarus,2014,5080586,,,,,,,
All ages,Female,Belarus,2015,5087846,,,,,,,
All ages,Female,Belarus,2016,5092082,,,,,,,
All ages,Female,Belarus,2017,5086764,,,,,,,
All ages,Female,Belarus,2018,5076355,,,,,,,
All ages,Female,Belarus,2019,5065544,,,,,,,
All ages,Female,Belarus,2020,5044162,,,,,,,
All ages,Female,Belarus,2021,5002780,,,,,,,
All ages,Female,Belarus,2022,..,,,,,,,
All ages,Female,Belarus,2023,..,,,,,,,
All ages,Female,Belgium,1980,5039072,,,,,,,
All ages,Female,Belgium,1990,5096986,,,,,,,
All ages,Female,Belgium,1995,5180082,,,,,,,
All ages,Female,Belgium,2000,5239233,,,,,,,
All ages,Female,Belgium,2001,5256416,,,,,,,
All ages,Female,Belgium,2002,5278198,,,,,,,
All ages,Female,Belgium,2003,5299102,,,,,,,
All ages,Female,Belgium,2004,5321886,,,,,,,
All ages,Female,Belgium,2005,5351044,,,,,,,
All ages,Female,Belgium,2006,5385343,,,,,,,
All ages,Female,Belgium,2007,5422841,,,,,,,
All ages,Female,Belgium,2008,5463493,,,,,,,
All ages,Female,Belgium,2009,5506056,,,,,,,
All ages,Female,Belgium,2010,5563302,,,,,,,
All ages,Female,Belgium,2011,5617260,,,,,,,
All ages,Female,Belgium,2012,5650359,,,,,,,
All ages,Female,Belgium,2013,5676083,,,,,,,
All ages,Female,Belgium,2014,5700127,,,,,,,
All ages,Female,Belgium,2015,5727529,,,,,,,
All ages,Female,Belgium,2016,5752154,,,,,,,
All ages,Female,Belgium,2017,5773413,,,,,,,
All ages,Female,Belgium,2018,5797532,,,,,,,
All ages,Female,Belgium,2019,5825954,,,,,,,
All ages,Female,Belgium,2020,5847754,,,,,,,
All ages,Female,Belgium,2021,5869135,,,,,,,
All ages,Female,Belgium,2022,5915313,,,,,,,
All ages,Female,Belgium,2023,5963871,,,,,,,
All ages,Female,Bosnia and Herzegovina,1980,2073343,,,,,,,
All ages,Female,Bosnia and Herzegovina,1990,2193238,,,,,,,
All ages,Female,Bosnia and Herzegovina,1995,1726000,,,,,,,
All ages,Female,Bosnia and Herzegovina,2000,1935954,,,,,,,
All ages,Female,Bosnia and Herzegovina,2001,1969214,,,,,,,
All ages,Female,Bosnia and Herzegovina,2002,1989119,,,,,,,
All ages,Female,Bosnia and Herzegovina,2003,1998930,,,,,,,
All ages,Female,Bosnia and Herzegovina,2004,2004677,,,,,,,
All ages,Female,Bosnia and Herzegovina,2005,2010766,,,,,,,
All ages,Female,Bosnia and Herzegovina,2006,2017206,,,,,,,
All ages,Female,Bosnia and Herzegovina,2007,2021911,,,,,,,
All ages,Female,Bosnia and Herzegovina,2008,2024954,,,,,,,
All ages,Female,Bosnia and Herzegovina,2009,2026223,,,,,,,
All ages,Female,Bosnia and Herzegovina,2010,1965539,,,,,,,
All ages,Female,Bosnia and Herzegovina,2011,1963806,,,,,,,
All ages,Female,Bosnia and Herzegovina,2012,1958467,,,,,,,
All ages,Female,Bosnia and Herzegovina,2013,1798889,,,,,,,
All ages,Female,Bosnia and Herzegovina,2014,1797536,,,,,,,
All ages,Female,Bosnia and Herzegovina,2015,1794597,,,,,,,
All ages,Female,Bosnia and Herzegovina,2016,1790133,,,,,,,
All ages,Female,Bosnia and Herzegovina,2017,1786572,,,,,,,
All ages,Female,Bosnia and Herzegovina,2018,1782306,,,,,,,
All ages,Female,Bosnia and Herzegovina,2019,1775026,,,,,,,
All ages,Female,Bosnia and Herzegovina,2020,1768133,,,,,,,
All ages,Female,Bosnia and Herzegovina,2021,1758402,,,,,,,
All ages,Female,Bosnia and Herzegovina,2022,..,,,,,,,
All ages,Female,Bosnia and Herzegovina,2023,..,,,,,,,
All ages,Female,Bulgaria,1980,4446103,,,,,,,
All ages,Female,Bulgaria,1990,4421403,,,,,,,
All ages,Female,Bulgaria,1995,4289399,,,,,,,
All ages,Female,Bulgaria,2000,4190880,,,,,,,
All ages,Female,Bulgaria,2001,4108860,,,,,,,
All ages,Female,Bulgaria,2002,4019484,,,,,,,
All ages,Female,Bulgaria,2003,3988155,,,,,,,
All ages,Female,Bulgaria,2004,3958736,,,,,,,
All ages,Female,Bulgaria,2005,3929605,,,,,,,
All ages,Female,Bulgaria,2006,3900425,,,,,,,
