feature,importance
duration,0.5222526093582959
nr.employed,0.3787614700728965
pdays,0.055431849778205165
cons.conf.idx,0.027255056367534388
euribor3m,0.016299014423068137
month_jun,0.0
month_oct,0.0
month_nov,0.0
month_may,0.0
month_mar,0.0
month_dec,0.0
month_jul,0.0
day_of_week_fri,0.0
month_aug,0.0
month_apr,0.0
contact_telephone,0.0
month_sep,0.0
day_of_week_tue,0.0
day_of_week_mon,0.0
day_of_week_thu,0.0
loan_yes,0.0
day_of_week_wed,0.0
poutcome_failure,0.0
poutcome_nonexistent,0.0
poutcome_success,0.0
age,0.0
campaign,0.0
previous,0.0
emp.var.rate,0.0
cons.price.idx,0.0
